CobbleID,DistanceBetweenLegs,Y,S
1,16.52,8.26,0.11
1,16.52,8.26,0.71
1,16.52,8.26,2.51
1,16.52,8.26,1.39
1,16.52,8.26,0.67
1,16.52,8.26,0.38
1,16.52,8.26,0.46
1,16.52,8.26,0.18
1,16.52,8.26,0.43
1,16.52,8.26,1.08
1,16.52,8.26,1.8
1,16.52,8.26,1.56
1,16.52,8.26,0.07
1,16.52,8.26,0.3
1,16.52,8.26,1.21
1,16.52,8.26,1.8
1,16.52,8.26,1.23
1,16.52,8.26,0.08
1,16.52,8.26,0.38
1,16.52,8.26,0.46
1,16.52,8.26,0.48
1,16.52,8.26,2.19
1,16.52,8.26,0.52
2,16.52,8.26,2.02
2,16.52,8.26,1.54
2,16.52,8.26,1.21
2,16.52,8.26,1.8
2,16.52,8.26,1.63
2,16.52,8.26,1.3
2,16.52,8.26,1.6
2,16.52,8.26,1.63
2,16.52,8.26,1.98
2,16.52,8.26,0.95
2,16.52,8.26,0.34
2,16.52,8.26,1.84
2,16.52,8.26,1.04
2,16.52,8.26,2.37
2,16.52,8.26,0.8
2,16.52,8.26,0.1
2,16.52,8.26,0.21
2,16.52,8.26,1.38
2,16.52,8.26,1.54
2,16.52,8.26,1.66
2,16.52,8.26,2.38
2,16.52,8.26,1.23
2,16.52,8.26,0.14
2,16.52,8.26,0.21
2,16.52,8.26,1.23
2,16.52,8.26,1.71
2,16.52,8.26,1.58
2,16.52,8.26,2.4
2,16.52,8.26,0.87
2,16.52,8.26,0.18
2,16.52,8.26,0.12
2,16.52,8.26,1.12
2,16.52,8.26,1.91
2,16.52,8.26,1.53
2,16.52,8.26,1.73
2,16.52,8.26,2.18
2,16.52,8.26,1.06
2,16.52,8.26,0.27
2,16.52,8.26,0.19
2,16.52,8.26,1.14
2,16.52,8.26,2.02
2,16.52,8.26,1.71
2,16.52,8.26,2.02
2,16.52,8.26,1.91
2,16.52,8.26,1.39
2,16.52,8.26,0.63
2,16.52,8.26,0.27
2,16.52,8.26,0.89
2,16.52,8.26,1.94
2,16.52,8.26,1.94
2,16.52,8.26,2.03
2,16.52,8.26,1.31
2,16.52,8.26,0.49
2,16.52,8.26,0.87
2,16.52,8.26,0.53
2,16.52,8.26,1.54
2,16.52,8.26,1.58
2,16.52,8.26,1.58
2,16.52,8.26,0.93
2,16.52,8.26,0.32
2,16.52,8.26,1.45
2,16.52,8.26,1.8
2,16.52,8.26,1.35
2,16.52,8.26,1.15
2,16.52,8.26,0.98
2,16.52,8.26,0.85
2,16.52,8.26,0.71
2,16.52,8.26,0.95
2,16.52,8.26,1.89
2,16.52,8.26,2.05
2,16.52,8.26,0.89
2,16.52,8.26,0.26
2,16.52,8.26,0.36
2,16.52,8.26,0.51
2,16.52,8.26,1.31
2,16.52,8.26,2.46
2,16.52,8.26,0.12
2,16.52,8.26,0.46
2,16.52,8.26,2.62
2,16.52,8.26,2.18
2,16.52,8.26,1.25
2,16.52,8.26,0.21
2,16.52,8.26,0.12
2,16.52,8.26,0.35
2,16.52,8.26,1.5
2,16.52,8.26,2.12
2,16.52,8.26,1.59
2,16.52,8.26,1.61
2,16.52,8.26,0.86
2,16.52,8.26,0.32
2,16.52,8.26,0.47
2,16.52,8.26,1.59
2,16.52,8.26,1.63
2,16.52,8.26,1.32
2,16.52,8.26,0.38
2,16.52,8.26,0.01
2,16.52,8.26,1.48
2,16.52,8.26,1.58
2,16.52,8.26,2.59
2,16.52,8.26,1.32
2,16.52,8.26,2.38
2,16.52,8.26,2.92
2,16.52,8.26,1.17
2,16.52,8.26,0.92
2,16.52,8.26,2.83
2,16.52,8.26,3.02
2,16.52,8.26,0.52
2,16.52,8.26,1.21
2,16.52,8.26,3.24
2,16.52,8.26,5
2,16.52,8.26,1.69
2,16.52,8.26,0.64
2,16.52,8.26,0.64
2,16.52,8.26,2.74
2,16.52,8.26,2.7
2,16.52,8.26,4.49
2,16.52,8.26,1.59
2,16.52,8.26,0.74
2,16.52,8.26,2.8
2,16.52,8.26,2.51
2,16.52,8.26,0.91
2,16.52,8.26,2.44
2,16.52,8.26,2.07
2,16.52,8.26,1.51
2,16.52,8.26,2
2,16.52,8.26,2.07
2,16.52,8.26,1.61
2,16.52,8.26,1.82
2,16.52,8.26,1.92
2,16.52,8.26,1.88
2,16.52,8.26,2.47
2,16.52,8.26,2.37
2,16.52,8.26,2.35
2,16.52,8.26,1.74
2,16.52,8.26,1.05
2,16.52,8.26,1.2
2,16.52,8.26,1.14
2,16.52,8.26,3.58
2,16.52,8.26,2.68
2,16.52,8.26,1.12
2,16.52,8.26,1.42
2,16.52,8.26,1.71
2,16.52,8.26,3.33
2,16.52,8.26,2.25
2,16.52,8.26,0.66
2,16.52,8.26,2.29
2,16.52,8.26,1.54
2,16.52,8.26,3.32
2,16.52,8.26,0.65
2,16.52,8.26,1.67
2,16.52,8.26,1.87
2,16.52,8.26,2.29
2,16.52,8.26,2.88
2,16.52,8.26,1.63
2,16.52,8.26,1.12
2,16.52,8.26,1.14
2,16.52,8.26,1.72
2,16.52,8.26,2.51
2,16.52,8.26,0.4
2,16.52,8.26,1.76
2,16.52,8.26,1.1
